Time [min]	Voltage [mV]
18.03000	0.6239
18.03333	0.6239
18.03667	0.6241
18.04000	0.6242
18.04333	0.6250
18.04667	0.6235
18.05000	0.6240
18.05333	0.6257
18.05667	0.6248
18.06000	0.6238
18.06333	0.6239
18.06667	0.6241
18.07000	0.6229
18.07333	0.6222
18.07667	0.6217
18.08000	0.6226
18.08333	0.6249
18.08667	0.6261
18.09000	0.6250
18.09333	0.6219
18.09667	0.6218
18.10000	0.6232
18.10333	0.6219
18.10667	0.6197
18.11000	0.6194
18.11333	0.6207
18.11667	0.6221
18.12000	0.6232
18.12333	0.6230
18.12667	0.6234
18.13000	0.6228
18.13333	0.6225
18.13667	0.6226
18.14000	0.6221
18.14333	0.6228
18.14667	0.6245
18.15000	0.6258
18.15333	0.6248
18.15667	0.6234
18.16000	0.6226
18.16333	0.6225
18.16667	0.6213
18.17000	0.6206
18.17333	0.6217
18.17667	0.6224
18.18000	0.6221
18.18333	0.6220
18.18667	0.6236
18.19000	0.6268
18.19333	0.6262
18.19667	0.6240
18.20000	0.6244
18.20333	0.6249
18.20667	0.6270
18.21000	0.6278
18.21333	0.6263
18.21667	0.6248
18.22000	0.6237
18.22333	0.6244
18.22667	0.6253
18.23000	0.6238
18.23333	0.6244
18.23667	0.6261
18.24000	0.6269
18.24333	0.6291
18.24667	0.6294
18.25000	0.6299
18.25333	0.6287
18.25667	0.6256
18.26000	0.6247
18.26333	0.6245
18.26667	0.6254
18.27000	0.6263
18.27333	0.6260
18.27667	0.6269
18.28000	0.6274
18.28333	0.6284
18.28667	0.6284
18.29000	0.6272
18.29333	0.6275
18.29667	0.6266
18.30000	0.6271
18.30333	0.6305
18.30667	0.6303
18.31000	0.6288
18.31333	0.6290
18.31667	0.6313
18.32000	0.6326
18.32333	0.6307
18.32667	0.6297
18.33000	0.6281
18.33333	0.6263
18.33667	0.6275
18.34000	0.6288
18.34333	0.6294
18.34667	0.6304
18.35000	0.6309
18.35333	0.6310
18.35667	0.6320
18.36000	0.6319
18.36333	0.6335
18.36667	0.6337
18.37000	0.6313
18.37333	0.6283
18.37667	0.6263
18.38000	0.6280
18.38333	0.6297
18.38667	0.6304
18.39000	0.6309
18.39333	0.6310
18.39667	0.6315
18.40000	0.6309
18.40333	0.6306
18.40667	0.6325
18.41000	0.6343
18.41333	0.6339
18.41667	0.6321
18.42000	0.6306
18.42333	0.6316
18.42667	0.6338
18.43000	0.6338
18.43333	0.6331
18.43667	0.6320
18.44000	0.6332
18.44333	0.6337
18.44667	0.6331
18.45000	0.6335
18.45333	0.6324
18.45667	0.6322
18.46000	0.6324
18.46333	0.6320
18.46667	0.6331
18.47000	0.6339
18.47333	0.6334
18.47667	0.6325
18.48000	0.6331
18.48333	0.6333
18.48667	0.6325
18.49000	0.6321
18.49333	0.6320
18.49667	0.6320
18.50000	0.6309
18.50333	0.6307
18.50667	0.6310
18.51000	0.6304
18.51333	0.6306
18.51667	0.6298
18.52000	0.6302
18.52333	0.6315
18.52667	0.6314
18.53000	0.6282
18.53333	0.6268
18.53667	0.6270
18.54000	0.6281
18.54333	0.6277
18.54667	0.6265
18.55000	0.6278
18.55333	0.6289
18.55667	0.6278
18.56000	0.6294
18.56333	0.6308
18.56667	0.6286
18.57000	0.6278
18.57333	0.6315
18.57667	0.6290
18.58000	0.6269
18.58333	0.6294
18.58667	0.6290
18.59000	0.6257
18.59333	0.6248
18.59667	0.6256
18.60000	0.6266
18.60333	0.6263
18.60667	0.6248
18.61000	0.6241
18.61333	0.6240
18.61667	0.6258
18.62000	0.6269
18.62333	0.6264
18.62667	0.6279
18.63000	0.6252
18.63333	0.6239
18.63667	0.6209
18.64000	0.6198
18.64333	0.6194
18.64667	0.6203
18.65000	0.6235
18.65333	0.6229
18.65667	0.6227
18.66000	0.6217
18.66333	0.6236
18.66667	0.6255
18.67000	0.6221
18.67333	0.6215
18.67667	0.6232
18.68000	0.6233
18.68333	0.6224
18.68667	0.6194
18.69000	0.6175
18.69333	0.6177
18.69667	0.6206
18.70000	0.6205
18.70333	0.6187
18.70667	0.6174
18.71000	0.6150
18.71333	0.6154
18.71667	0.6179
18.72000	0.6155
18.72333	0.6135
18.72667	0.6171
18.73000	0.6168
18.73333	0.6161
18.73667	0.6160
18.74000	0.6167
18.74333	0.6163
18.74667	0.6167
18.75000	0.6156
18.75333	0.6137
18.75667	0.6131
18.76000	0.6116
18.76333	0.6124
18.76667	0.6116
18.77000	0.6110
18.77333	0.6089
18.77667	0.6074
18.78000	0.6070
18.78333	0.6077
18.78667	0.6094
18.79000	0.6085
18.79333	0.6059
18.79667	0.6058
18.80000	0.6053
18.80333	0.6050
18.80667	0.6057
18.81000	0.6067
18.81333	0.6077
18.81667	0.6058
18.82000	0.6058
18.82333	0.6053
18.82667	0.6057
18.83000	0.6030
18.83333	0.6013
18.83667	0.6032
18.84000	0.6017
18.84333	0.6025
18.84667	0.5970
18.85000	0.5966
18.85333	0.6007
18.85667	0.6012
18.86000	0.6010
18.86333	0.5995
18.86667	0.5983
18.87000	0.5988
18.87333	0.5997
18.87667	0.5985
18.88000	0.5950
18.88333	0.5964
18.88667	0.5954
18.89000	0.5950
18.89333	0.5958
18.89667	0.5937
18.90000	0.5930
18.90333	0.5922
18.90667	0.5928
18.91000	0.5930
18.91333	0.5938
18.91667	0.5885
18.92000	0.5871
18.92333	0.5902
18.92667	0.5870
18.93000	0.5853
18.93333	0.5858
18.93667	0.5860
18.94000	0.5844
18.94333	0.5840
18.94667	0.5848
18.95000	0.5850
18.95333	0.5850
18.95667	0.5826
18.96000	0.5837
18.96333	0.5832
18.96667	0.5830
18.97000	0.5846
18.97333	0.5842
18.97667	0.5848
18.98000	0.5800
18.98333	0.5774
18.98667	0.5745
18.99000	0.5774
18.99333	0.5771
18.99667	0.5770
19.00000	0.5795
19.00333	0.5783
19.00667	0.5797
19.01000	0.5758
19.01333	0.5759
19.01667	0.5760
19.02000	0.5760
19.02333	0.5743
19.02667	0.5714
19.03000	0.5710
19.03333	0.5701
19.03667	0.5691
19.04000	0.5690
19.04333	0.5699
19.04667	0.5691
19.05000	0.5673
19.05333	0.5661
19.05667	0.5678
19.06000	0.5680
19.06333	0.5698
19.06667	0.5700
19.07000	0.5673
19.07333	0.5670
19.07667	0.5652
19.08000	0.5641
19.08333	0.5631
19.08667	0.5630
19.09000	0.5630
19.09333	0.5657
19.09667	0.5678
19.10000	0.5653
19.10333	0.5623
19.10667	0.5638
19.11000	0.5640
19.11333	0.5640
19.11667	0.5613
19.12000	0.5610
19.12333	0.5619
19.12667	0.5583
19.13000	0.5562
19.13333	0.5579
19.13667	0.5599
19.14000	0.5581
19.14333	0.5589
19.14667	0.5590
19.15000	0.5590
19.15333	0.5590
19.15667	0.5581
19.16000	0.5608
19.16333	0.5600
19.16667	0.5590
19.17000	0.5609
19.17333	0.5600
19.17667	0.5562
19.18000	0.5608
19.18333	0.5610
19.18667	0.5562
19.19000	0.5579
19.19333	0.5599
19.19667	0.5619
19.20000	0.5610
19.20333	0.5600
19.20667	0.5600
19.21000	0.5590
19.21333	0.5619
19.21667	0.5610
19.22000	0.5640
19.22333	0.5650
19.22667	0.5650
19.23000	0.5620
19.23333	0.5660
19.23667	0.5670
19.24000	0.5660
19.24333	0.5660
19.24667	0.5675
19.25000	0.5683
19.25333	0.5681
19.25667	0.5696
19.26000	0.5708
19.26333	0.5734
19.26667	0.5752
19.27000	0.5761
19.27333	0.5756
19.27667	0.5773
19.28000	0.5771
19.28333	0.5776
19.28667	0.5809
19.29000	0.5855
19.29333	0.5858
19.29667	0.5854
19.30000	0.5888
19.30333	0.5920
19.30667	0.5935
19.31000	0.5953
19.31333	0.5967
19.31667	0.5984
19.32000	0.5997
19.32333	0.6004
19.32667	0.6038
19.33000	0.6049
19.33333	0.6086
19.33667	0.6119
19.34000	0.6171
19.34333	0.6197
19.34667	0.6209
19.35000	0.6220
19.35333	0.6241
19.35667	0.6282
19.36000	0.6318
19.36333	0.6361
19.36667	0.6413
19.37000	0.6448
19.37333	0.6486
19.37667	0.6535
19.38000	0.6554
19.38333	0.6604
19.38667	0.6671
19.39000	0.6707
19.39333	0.6762
19.39667	0.6793
19.40000	0.6833
19.40333	0.6869
19.40667	0.6912
19.41000	0.6996
19.41333	0.7072
19.41667	0.7125
19.42000	0.7170
19.42333	0.7229
19.42667	0.7283
19.43000	0.7351
19.43333	0.7420
19.43667	0.7479
19.44000	0.7555
19.44333	0.7628
19.44667	0.7726
19.45000	0.7798
19.45333	0.7859
19.45667	0.7951
19.46000	0.8038
19.46333	0.8121
19.46667	0.8213
19.47000	0.8298
19.47333	0.8414
19.47667	0.8505
19.48000	0.8595
19.48333	0.8685
19.48667	0.8798
19.49000	0.8903
19.49333	0.9017
19.49667	0.9107
19.50000	0.9230
19.50333	0.9357
19.50667	0.9480
19.51000	0.9596
19.51333	0.9731
19.51667	0.9875
19.52000	1.0022
19.52333	1.0154
19.52667	1.0291
19.53000	1.0441
19.53333	1.0586
19.53667	1.0734
19.54000	1.0911
19.54333	1.1094
19.54667	1.1260
19.55000	1.1412
19.55333	1.1585
19.55667	1.1762
19.56000	1.1942
19.56333	1.2122
19.56667	1.2319
19.57000	1.2523
19.57333	1.2737
19.57667	1.2938
19.58000	1.3155
19.58333	1.3368
19.58667	1.3598
19.59000	1.3816
19.59333	1.4036
19.59667	1.4279
19.60000	1.4553
19.60333	1.4804
19.60667	1.5060
19.61000	1.5314
19.61333	1.5599
19.61667	1.5889
19.62000	1.6190
19.62333	1.6479
19.62667	1.6763
19.63000	1.7058
19.63333	1.7350
19.63667	1.7659
19.64000	1.7998
19.64333	1.8353
19.64667	1.8678
19.65000	1.8997
19.65333	1.9373
19.65667	1.9746
19.66000	2.0125
19.66333	2.0503
19.66667	2.0862
19.67000	2.1267
19.67333	2.1678
19.67667	2.2099
19.68000	2.2525
19.68333	2.2943
19.68667	2.3374
19.69000	2.3819
19.69333	2.4278
19.69667	2.4751
19.70000	2.5243
19.70333	2.5716
19.70667	2.6216
19.71000	2.6733
19.71333	2.7253
19.71667	2.7782
19.72000	2.8318
19.72333	2.8884
19.72667	2.9426
19.73000	3.0004
19.73333	3.0578
19.73667	3.1168
19.74000	3.1772
19.74333	3.2419
19.74667	3.3060
19.75000	3.3701
19.75333	3.4365
19.75667	3.5034
19.76000	3.5718
19.76333	3.6403
19.76667	3.7124
19.77000	3.7836
19.77333	3.8598
19.77667	3.9364
19.78000	4.0122
19.78333	4.0905
19.78667	4.1688
19.79000	4.2503
19.79333	4.3321
19.79667	4.4138
19.80000	4.5009
19.80333	4.5893
19.80667	4.6807
19.81000	4.7673
19.81333	4.8574
19.81667	4.9524
19.82000	5.0502
19.82333	5.1469
19.82667	5.2441
19.83000	5.3453
19.83333	5.4473
19.83667	5.5528
19.84000	5.6588
19.84333	5.7666
19.84667	5.8763
19.85000	5.9852
19.85333	6.0966
19.85667	6.2094
19.86000	6.3279
19.86333	6.4483
19.86667	6.5667
19.87000	6.6858
19.87333	6.8095
19.87667	6.9364
19.88000	7.0646
19.88333	7.1934
19.88667	7.3243
19.89000	7.4581
19.89333	7.5947
19.89667	7.7339
19.90000	7.8740
19.90333	8.0191
19.90667	8.1646
19.91000	8.3083
19.91333	8.4552
19.91667	8.6034
19.92000	8.7548
19.92333	8.9096
19.92667	9.0655
19.93000	9.2260
19.93333	9.3861
19.93667	9.5502
19.94000	9.7139
19.94333	9.8807
19.94667	10.0529
19.95000	10.2252
19.95333	10.3998
19.95667	10.5754
19.96000	10.7528
19.96333	10.9343
19.96667	11.1176
19.97000	11.3034
19.97333	11.4928
19.97667	11.6804
19.98000	11.8711
19.98333	12.0654
19.98667	12.2630
19.99000	12.4613
19.99333	12.6627
19.99667	12.8659
20.00000	13.0713
20.00333	13.2775
20.00667	13.4910
20.01000	13.7055
20.01333	13.9214
20.01667	14.1416
20.02000	14.3602
20.02333	14.5816
20.02667	14.8044
20.03000	15.0314
20.03333	15.2605
20.03667	15.4917
20.04000	15.7249
20.04333	15.9609
20.04667	16.2015
20.05000	16.4418
20.05333	16.6829
20.05667	16.9276
20.06000	17.1774
20.06333	17.4289
20.06667	17.6832
20.07000	17.9380
20.07333	18.1986
20.07667	18.4611
20.08000	18.7223
20.08333	18.9855
20.08667	19.2511
20.09000	19.5223
20.09333	19.7929
20.09667	20.0649
20.10000	20.3399
20.10333	20.6158
20.10667	20.8944
20.11000	21.1776
20.11333	21.4617
20.11667	21.7491
20.12000	22.0379
20.12333	22.3294
20.12667	22.6221
20.13000	22.9170
20.13333	23.2178
20.13667	23.5186
20.14000	23.8193
20.14333	24.1226
20.14667	24.4303
20.15000	24.7386
20.15333	25.0495
20.15667	25.3627
20.16000	25.6785
20.16333	25.9951
20.16667	26.3153
20.17000	26.6372
20.17333	26.9601
20.17667	27.2858
20.18000	27.6106
20.18333	27.9398
20.18667	28.2722
20.19000	28.6069
20.19333	28.9432
20.19667	29.2801
20.20000	29.6189
20.20333	29.9618
20.20667	30.3064
20.21000	30.6506
20.21333	30.9976
20.21667	31.3486
20.22000	31.7010
20.22333	32.0544
20.22667	32.4080
20.23000	32.7644
20.23333	33.1254
20.23667	33.4854
20.24000	33.8472
20.24333	34.2117
20.24667	34.5777
20.25000	34.9439
20.25333	35.3141
20.25667	35.6867
20.26000	36.0625
20.26333	36.4342
20.26667	36.8070
20.27000	37.1821
20.27333	37.5626
20.27667	37.9441
20.28000	38.3262
20.28333	38.7097
20.28667	39.0945
20.29000	39.4818
20.29333	39.8680
20.29667	40.2553
20.30000	40.6437
20.30333	41.0387
20.30667	41.4323
20.31000	41.8278
20.31333	42.2226
20.31667	42.6198
20.32000	43.0176
20.32333	43.4152
20.32667	43.8123
20.33000	44.2118
20.33333	44.6146
20.33667	45.0153
20.34000	45.4179
20.34333	45.8220
20.34667	46.2276
20.35000	46.6333
20.35333	47.0401
20.35667	47.4470
20.36000	47.8590
20.36333	48.2659
20.36667	48.6717
20.37000	49.0806
20.37333	49.4913
20.37667	49.8988
20.38000	50.3096
20.38333	50.7196
20.38667	51.1291
20.39000	51.5428
20.39333	51.9547
20.39667	52.3669
20.40000	52.7805
20.40333	53.1973
20.40667	53.6092
20.41000	54.0204
20.41333	54.4352
20.41667	54.8507
20.42000	55.2638
20.42333	55.6743
20.42667	56.0850
20.43000	56.4956
20.43333	56.9085
20.43667	57.3191
20.44000	57.7274
20.44333	58.1370
20.44667	58.5465
20.45000	58.9524
20.45333	59.3568
20.45667	59.7617
20.46000	60.1673
20.46333	60.5715
20.46667	60.9712
20.47000	61.3707
20.47333	61.7687
20.47667	62.1660
20.48000	62.5596
20.48333	62.9530
20.48667	63.3461
20.49000	63.7385
20.49333	64.1299
20.49667	64.5203
20.50000	64.9080
20.50333	65.2952
20.50667	65.6788
20.51000	66.0594
20.51333	66.4381
20.51667	66.8156
20.52000	67.1872
20.52333	67.5590
20.52667	67.9280
20.53000	68.2941
20.53333	68.6591
20.53667	69.0191
20.54000	69.3763
20.54333	69.7299
20.54667	70.0841
20.55000	70.4354
20.55333	70.7815
20.55667	71.1235
20.56000	71.4643
20.56333	71.7972
20.56667	72.1261
20.57000	72.4518
20.57333	72.7746
20.57667	73.0964
20.58000	73.4101
20.58333	73.7193
20.58667	74.0229
20.59000	74.3245
20.59333	74.6214
20.59667	74.9132
20.60000	75.2012
20.60333	75.4847
20.60667	75.7603
20.61000	76.0301
20.61333	76.2952
20.61667	76.5587
20.62000	76.8155
20.62333	77.0658
20.62667	77.3079
20.63000	77.5435
20.63333	77.7760
20.63667	77.9997
20.64000	78.2175
20.64333	78.4290
20.64667	78.6365
20.65000	78.8367
20.65333	79.0273
20.65667	79.2134
20.66000	79.3924
20.66333	79.5641
20.66667	79.7295
20.67000	79.8874
20.67333	80.0373
20.67667	80.1799
20.68000	80.3142
20.68333	80.4407
20.68667	80.5617
20.69000	80.6753
20.69333	80.7788
20.69667	80.8713
20.70000	80.9561
20.70333	81.0329
20.70667	81.1009
20.71000	81.1612
20.71333	81.2122
20.71667	81.2549
20.72000	81.2878
20.72333	81.3136
20.72667	81.3310
20.73000	81.3383
20.73333	81.3366
20.73667	81.3245
20.74000	81.3038
20.74333	81.2761
20.74667	81.2365
20.75000	81.1883
20.75333	81.1310
20.75667	81.0636
20.76000	80.9841
20.76333	80.8943
20.76667	80.8004
20.77000	80.6963
20.77333	80.5814
20.77667	80.4570
20.78000	80.3221
20.78333	80.1793
20.78667	80.0265
20.79000	79.8610
20.79333	79.6871
20.79667	79.5040
20.80000	79.3143
20.80333	79.1128
20.80667	78.9016
20.81000	78.6838
20.81333	78.4588
20.81667	78.2259
20.82000	77.9821
20.82333	77.7295
20.82667	77.4698
20.83000	77.2009
20.83333	76.9235
20.83667	76.6398
20.84000	76.3492
20.84333	76.0495
20.84667	75.7399
20.85000	75.4244
20.85333	75.1025
20.85667	74.7743
20.86000	74.4395
20.86333	74.1011
20.86667	73.7553
20.87000	73.4031
20.87333	73.0434
20.87667	72.6781
20.88000	72.3097
20.88333	71.9362
20.88667	71.5573
20.89000	71.1733
20.89333	70.7849
20.89667	70.3922
20.90000	69.9967
20.90333	69.5962
20.90667	69.1936
20.91000	68.7870
20.91333	68.3765
20.91667	67.9645
20.92000	67.5497
20.92333	67.1345
20.92667	66.7178
20.93000	66.2995
20.93333	65.8763
20.93667	65.4538
20.94000	65.0308
20.94333	64.6060
20.94667	64.1806
20.95000	63.7577
20.95333	63.3371
20.95667	62.9141
20.96000	62.4868
20.96333	62.0625
20.96667	61.6403
20.97000	61.2188
20.97333	60.7968
20.97667	60.3746
20.98000	59.9565
20.98333	59.5420
20.98667	59.1272
20.99000	58.7115
20.99333	58.3020
20.99667	57.8941
21.00000	57.4880
21.00333	57.0824
21.00667	56.6796
21.01000	56.2822
21.01333	55.8899
21.01667	55.4976
21.02000	55.1035
21.02333	54.7178
21.02667	54.3387
21.03000	53.9598
21.03333	53.5813
21.03667	53.2088
21.04000	52.8392
21.04333	52.4717
21.04667	52.1077
21.05000	51.7478
21.05333	51.3914
21.05667	51.0387
21.06000	50.6881
21.06333	50.3417
21.06667	49.9993
21.07000	49.6630
21.07333	49.3275
21.07667	48.9932
21.08000	48.6733
21.08333	48.3669
21.08667	48.0643
21.09000	47.7586
21.09333	47.4459
21.09667	47.1277
21.10000	46.8111
21.10333	46.4994
21.10667	46.1966
21.11000	45.8982
21.11333	45.6044
21.11667	45.3148
21.12000	45.0256
21.12333	44.7404
21.12667	44.4592
21.13000	44.1796
21.13333	43.9032
21.13667	43.6348
21.14000	43.3687
21.14333	43.1035
21.14667	42.8393
21.15000	42.5797
21.15333	42.3253
21.15667	42.0720
21.16000	41.8212
21.16333	41.5728
21.16667	41.3270
21.17000	41.0849
21.17333	40.8463
21.17667	40.6107
21.18000	40.3771
21.18333	40.1470
21.18667	39.9188
21.19000	39.6918
21.19333	39.4699
21.19667	39.2501
21.20000	39.0343
21.20333	38.8198
21.20667	38.6066
21.21000	38.3945
21.21333	38.1843
21.21667	37.9760
21.22000	37.7700
21.22333	37.5683
21.22667	37.3680
21.23000	37.1690
21.23333	36.9724
21.23667	36.7789
21.24000	36.5878
21.24333	36.3975
21.24667	36.2088
21.25000	36.0223
21.25333	35.8363
21.25667	35.6532
21.26000	35.4729
21.26333	35.2945
21.26667	35.1166
21.27000	34.9403
21.27333	34.7655
21.27667	34.5914
21.28000	34.4191
21.28333	34.2491
21.28667	34.0814
21.29000	33.9147
21.29333	33.7520
21.29667	33.5896
21.30000	33.4269
21.30333	33.2658
21.30667	33.1070
21.31000	32.9500
21.31333	32.7943
21.31667	32.6389
21.32000	32.4839
21.32333	32.3312
21.32667	32.1807
21.33000	32.0289
21.33333	31.8779
21.33667	31.7306
21.34000	31.5855
21.34333	31.4415
21.34667	31.2970
21.35000	31.1540
21.35333	31.0130
21.35667	30.8717
21.36000	30.7327
21.36333	30.5955
21.36667	30.4588
21.37000	30.3219
21.37333	30.1856
21.37667	30.0513
21.38000	29.9207
21.38333	29.7882
21.38667	29.6582
21.39000	29.5292
21.39333	29.4019
21.39667	29.2769
21.40000	29.1501
21.40333	29.0233
21.40667	28.8986
21.41000	28.7763
21.41333	28.6534
21.41667	28.5268
21.42000	28.4017
21.42333	28.2811
21.42667	28.1620
21.43000	28.0438
21.43333	27.9241
21.43667	27.8054
21.44000	27.6903
21.44333	27.5761
21.44667	27.4614
21.45000	27.3455
21.45333	27.2316
21.45667	27.1188
21.46000	27.0067
21.46333	26.8974
21.46667	26.7883
21.47000	26.6772
21.47333	26.5686
21.47667	26.4592
21.48000	26.3518
21.48333	26.2456
21.48667	26.1393
21.49000	26.0345
21.49333	25.9307
21.49667	25.8267
21.50000	25.7258
21.50333	25.6225
21.50667	25.5203
21.51000	25.4181
21.51333	25.3190
21.51667	25.2196
21.52000	25.1165
21.52333	25.0158
21.52667	24.9192
21.53000	24.8244
21.53333	24.7284
21.53667	24.6311
21.54000	24.5352
21.54333	24.4411
21.54667	24.3487
21.55000	24.2543
21.55333	24.1604
21.55667	24.0654
21.56000	23.9738
21.56333	23.8827
21.56667	23.7943
21.57000	23.7039
21.57333	23.6144
21.57667	23.5257
21.58000	23.4384
21.58333	23.3520
21.58667	23.2650
21.59000	23.1789
21.59333	23.0931
21.59667	23.0078
21.60000	22.9234
21.60333	22.8391
21.60667	22.7546
21.61000	22.6713
21.61333	22.5882
21.61667	22.5084
21.62000	22.4291
21.62333	22.3501
21.62667	22.2711
21.63000	22.1911
21.63333	22.1121
21.63667	22.0340
21.64000	21.9581
21.64333	21.8806
21.64667	21.8036
21.65000	21.7283
21.65333	21.6554
21.65667	21.5833
21.66000	21.5096
21.66333	21.4360
21.66667	21.3629
21.67000	21.2906
21.67333	21.2198
21.67667	21.1493
21.68000	21.0778
21.68333	21.0095
21.68667	20.9393
21.69000	20.8716
21.69333	20.8033
21.69667	20.7351
21.70000	20.6656
21.70333	20.5991
21.70667	20.5366
21.71000	20.4702
21.71333	20.4016
21.71667	20.3384
21.72000	20.2754
21.72333	20.2094
21.72667	20.1507
21.73000	20.0913
21.73333	20.0295
21.73667	19.9675
21.74000	19.9055
21.74333	19.8463
21.74667	19.7864
21.75000	19.7279
21.75333	19.6707
21.75667	19.6145
21.76000	19.5559
21.76333	19.4982
21.76667	19.4442
21.77000	19.3904
21.77333	19.3346
21.77667	19.2815
21.78000	19.2271
21.78333	19.1713
21.78667	19.1167
21.79000	19.0624
21.79333	19.0139
21.79667	18.9645
21.80000	18.9105
21.80333	18.8585
21.80667	18.8080
21.81000	18.7588
21.81333	18.7106
21.81667	18.6632
21.82000	18.6159
21.82333	18.5665
21.82667	18.5198
21.83000	18.4711
21.83333	18.4268
21.83667	18.3779
21.84000	18.3321
21.84333	18.2888
21.84667	18.2439
21.85000	18.1995
21.85333	18.1580
21.85667	18.1161
21.86000	18.0714
21.86333	18.0296
21.86667	17.9877
21.87000	17.9474
21.87333	17.9047
21.87667	17.8623
21.88000	17.8203
21.88333	17.7792
21.88667	17.7388
21.89000	17.7021
21.89333	17.6617
21.89667	17.6251
21.90000	17.5856
21.90333	17.5463
21.90667	17.5106
21.91000	17.4756
21.91333	17.4353
21.91667	17.3985
21.92000	17.3632
21.92333	17.3256
21.92667	17.2884
21.93000	17.2584
21.93333	17.2229
21.93667	17.1870
21.94000	17.1527
21.94333	17.1178
21.94667	17.0845
21.95000	17.0522
21.95333	17.0238
21.95667	16.9904
21.96000	16.9544
21.96333	16.9237
21.96667	16.8937
21.97000	16.8619
21.97333	16.8307
21.97667	16.7995
21.98000	16.7676
21.98333	16.7365
21.98667	16.7072
21.99000	16.6780
21.99333	16.6500
21.99667	16.6173
22.00000	16.5918
22.00333	16.5657
22.00667	16.5377
22.01000	16.5069
22.01333	16.4768
22.01667	16.4485
22.02000	16.4223
22.02333	16.3953
22.02667	16.3703
22.03000	16.3461
22.03333	16.3200
22.03667	16.2950
22.04000	16.2681
22.04333	16.2411
22.04667	16.2149
22.05000	16.1888
22.05333	16.1696
22.05667	16.1457
22.06000	16.1206
22.06333	16.0955
22.06667	16.0705
22.07000	16.0465
22.07333	16.0253
22.07667	16.0002
22.08000	15.9812
22.08333	15.9592
22.08667	15.9381
22.09000	15.9160
22.09333	15.8940
22.09667	15.8690
22.10000	15.8480
22.10333	15.8390
22.10667	15.8229
22.11000	15.8054
22.11333	15.7876
22.11667	15.7671
22.12000	15.7473
22.12333	15.7270
22.12667	15.7083
22.13000	15.6904
22.13333	15.6714
22.13667	15.6509
22.14000	15.6301
22.14333	15.6093
22.14667	15.5908
22.15000	15.5725
22.15333	15.5554
22.15667	15.5363
22.16000	15.5192
22.16333	15.5012
22.16667	15.4821
22.17000	15.4662
22.17333	15.4501
22.17667	15.4320
22.18000	15.4171
22.18333	15.3990
22.18667	15.3825
22.19000	15.3646
22.19333	15.3482
22.19667	15.3326
22.20000	15.3162
22.20333	15.3020
22.20667	15.2864
22.21000	15.2716
22.21333	15.2562
22.21667	15.2409
22.22000	15.2258
22.22333	15.2112
22.22667	15.1970
22.23000	15.1812
22.23333	15.1674
22.23667	15.1525
22.24000	15.1406
22.24333	15.1282
22.24667	15.1133
22.25000	15.0994
22.25333	15.0854
22.25667	15.0725
22.26000	15.0611
22.26333	15.0477
22.26667	15.0356
22.27000	15.0204
22.27333	15.0074
22.27667	14.9959
22.28000	14.9826
22.28333	14.9716
22.28667	14.9595
22.29000	14.9485
22.29333	14.9359
22.29667	14.9241
22.30000	14.9138
22.30333	14.9020
22.30667	14.8896
22.31000	14.8795
22.31333	14.8679
22.31667	14.8571
22.32000	14.8451
22.32333	14.8336
22.32667	14.8224
22.33000	14.8118
22.33333	14.8010
22.33667	14.7911
22.34000	14.7801
22.34333	14.7680
22.34667	14.7560
22.35000	14.7456
22.35333	14.7370
22.35667	14.7271
22.36000	14.7177
22.36333	14.7090
22.36667	14.6990
22.37000	14.6869
22.37333	14.6780
22.37667	14.6669
22.38000	14.6564
22.38333	14.6456
22.38667	14.6359
22.39000	14.6270
22.39333	14.6164
22.39667	14.6056
22.40000	14.5957
22.40333	14.5858
22.40667	14.5758
22.41000	14.5663
22.41333	14.5561
22.41667	14.5487
22.42000	14.5398
22.42333	14.5286
22.42667	14.5170
22.43000	14.5079
22.43333	14.4978
22.43667	14.4888
22.44000	14.4798
22.44333	14.4707
22.44667	14.4567
22.45000	14.4466
22.45333	14.4366
22.45667	14.4276
22.46000	14.4158
22.46333	14.4044
22.46667	14.3927
22.47000	14.3815
22.47333	14.3736
22.47667	14.3633
22.48000	14.3505
22.48333	14.3410
22.48667	14.3305
22.49000	14.3191
22.49333	14.3068
22.49667	14.2931
22.50000	14.2819
22.50333	14.2697
22.50667	14.2582
22.51000	14.2476
22.51333	14.2366
22.51667	14.2234
22.52000	14.2131
22.52333	14.2007
22.52667	14.1885
22.53000	14.1753
22.53333	14.1644
22.53667	14.1524
22.54000	14.1414
22.54333	14.1282
22.54667	14.1155
22.55000	14.1010
22.55333	14.0872
22.55667	14.0723
22.56000	14.0589
22.56333	14.0441
22.56667	14.0308
22.57000	14.0165
22.57333	14.0011
22.57667	13.9861
22.58000	13.9720
22.58333	13.9552
22.58667	13.9394
22.59000	13.9239
22.59333	13.9059
22.59667	13.8897
22.60000	13.8746
22.60333	13.8583
22.60667	13.8412
22.61000	13.8259
22.61333	13.8112
22.61667	13.7938
22.62000	13.7744
22.62333	13.7569
22.62667	13.7379
22.63000	13.7178
22.63333	13.7001
22.63667	13.6826
22.64000	13.6638
22.64333	13.6459
22.64667	13.6261
22.65000	13.6061
22.65333	13.5849
22.65667	13.5639
22.66000	13.5441
22.66333	13.5258
22.66667	13.5058
22.67000	13.4840
22.67333	13.4620
22.67667	13.4392
22.68000	13.4153
22.68333	13.3931
22.68667	13.3711
